Episode,Step,Action Type,Reward,Energy Output,Unmet Demand
2,24,wind,0.032743289731352127,30781516.267644882,53852368.234069824
2,25,solar,0.958017192816363,34609793.03212547,53359223.23551941
2,26,wind,0.020298096397516785,38464097.67084122,53333195.361284256
2,27,wind,0.029530290436637588,42350569.32639885,53301028.34444237
2,28,wind,0.05630107046865742,46278211.48403168,53259857.84236717
2,29,wind,0.08932171741089086,50272233.460199356,53193478.02383232
2,30,solar,0.9553941141066001,54756265.43564224,52703468.02455711
2,31,wind,0.016817232804988744,59264743.074596405,52679022.36104584
2,32,solar,1.067247633485411,64313010.7287712,52139232.345825195
2,33,solar,1.063276622323608,69899263.39309311,51601247.3356781
2,34,wind,0.22353042145831858,75602859.76836012,51483903.62473297
2,35,wind,0.1741978855389799,81402438.46747208,51387921.30088806
2,36,wind,0.09724159263897454,87267906.82446289,51322031.643009186
