,utc_hour,latitude,longitude,power_kW
96,0,18.09000015258789,-67.13999938964844,918.251975695625
97,0,18.09000015258789,-67.0999984741211,823.5632516389826
98,0,18.09000015258789,-67.05999755859375,798.5368137740736
99,0,18.09000015258789,-67.0199966430664,773.6643311252093
100,0,18.09000015258789,-66.9800033569336,771.5643532937544
101,0,18.09000015258789,-66.94000244140625,770.0577578112534
102,0,18.09000015258789,-66.9000015258789,770.0577578112534
103,0,18.09000015258789,-66.86000061035156,770.0577578112534
104,0,18.09000015258789,-66.81999969482422,770.7747274093374
105,0,18.09000015258789,-66.77999877929688,770.4364088201551
106,0,18.09000015258789,-66.73999786376953,768.8006833698901
107,0,18.09000015258789,-66.69999694824219,768.8006833698901
108,0,18.09000015258789,-66.66000366210938,745.8407249824074
109,0,18.09000015258789,-66.62000274658203,739.2848270243921
